"date","source","leads_generated"
"2024-07-06",Chatbot,2
"2024-11-07",Twitter,8
"2024-10-15",Twitter,8
"2024-11-10",Toyota Offer,293
"2024-10-02",Website,77
"2024-09-08",Motory,68
"2024-05-31",Online Sales,329
"2024-09-11",Social Media - Campaign,70
"2024-12-11",Website,114
"2024-07-01",Twitter,35
"2024-12-05",Online Sales,194
"2024-06-20",Twitter,21
"2024-06-05",Mobile Applications-TSS,1
"2024-06-04",Toll Free,182
"2024-10-10",Website,112
"2024-01-22",Instagram,1
"2024-04-23",Online Sales,410
"2024-03-06",Chatbot,2
"2024-02-17",Toyota Offer,21
"2024-04-04",Facebook,2
"2024-05-30",Motory,57
"2024-04-17",Events,2
"2024-10-26",Toll Free,78
"2024-03-11",Website,101
"2024-07-29",Website,114
"2024-03-23",Website,153
"2024-09-07",Online Sales,456
"2024-07-25",Online Sales,334
"2024-08-24",Motory,43
"2024-07-11",Motory,80
"2024-05-07",Test Drive,25
"2024-12-09",Toll Free,53
"2024-07-26",Chatbot,2
"2024-03-11",Online Sales,368
"2024-10-27",Website,115
"2024-07-04",Twitter,15
"2024-03-26",Chatbot,2
"2024-05-01",Online Sales,281
"2024-03-22",Toyota Offer,193
"2024-11-13",Website,97
"2024-03-06",Facebook,1
"2024-09-27",Events,1
"2024-05-02",Toll Free,116
"2024-03-28",Facebook,1
"2024-02-22",Chatbot,2
"2024-02-12",Facebook,5
"2024-10-16",Twitter,5
"2024-06-21",Website,69
"2024-11-06",Facebook,1
"2024-07-18",Toyota Offer,2
"2024-04-16",Chatbot,1
"2024-09-05",Test Drive,55
"2024-02-05",Mobile Applications-TSS,1
"2024-12-31",Chatbot,2
"2024-09-12",Motory,50
"2024-08-13",Toll Free,191
"2024-08-08",Twitter,16
"2024-01-28",Online Sales,358
"2024-02-07",Motory,93
"2024-01-20",Twitter,3
"2024-02-08",Chatbot,1
"2024-01-31",Twitter,4
"2024-07-29",Social Media - Campaign,50
"2024-12-08",Test Drive,46
"2024-10-31",Online Sales,297
"2024-03-12",Website,111
"2024-11-28",Motory,23
"2024-01-12",Website,77
"2024-10-21",Toll Free,84
"2024-11-04",Test Drive,34
"2024-12-26",Motory Campaign,4
"2024-01-04",Social Media - Campaign,2
"2024-01-09",Motory Campaign,1
"2024-12-19",Instagram,1
"2024-12-17",Online Sales,284
"2024-12-04",Website,109
"2024-01-20",Mobile Applications-TSS,1
"2024-05-21",Toll Free,247
"2024-10-11",Toll Free,9
"2024-09-12",Online Sales,487
"2024-12-23",Motory Campaign,109
"2024-08-27",Mobile Applications-TSS,1
"2024-09-30",Website,141
"2024-06-27",Motory,81
"2024-11-07",Social Media - Campaign,111
"2024-09-17",Toll Free,119
"2024-05-18",Test Drive,58
"2024-11-21",Website,120
"2024-05-30",Toll Free,172
"2024-04-29",Twitter,11
"2024-07-26",Online Sales,346
"2024-04-02",Motory,75
"2024-01-09",Toll Free,131
"2024-01-29",Toyota Offer,31
"2024-03-02",Motory,81
"2024-09-10",Facebook,1
"2024-02-17",Mobile Applications-TSS,2
"2024-10-24",Twitter,12
"2024-01-12",Twitter,4
"2024-07-07",Chatbot,1
"2024-02-14",Toll Free,150
"2024-03-17",Motory,113
"2024-03-16",Website,157
"2024-09-20",Test Drive,46
"2024-02-19",Twitter,6
"2024-11-27",Social Media - Campaign,100
"2024-04-02",Social Media - Campaign,1
"2024-07-06",Facebook,1
"2024-04-12",Online Sales,125
"2024-06-30",Motory,73
"2024-01-28",Facebook,1
"2024-10-05",Test Drive,48
"2024-06-06",Online Sales,358
"2024-11-07",Test Drive,30
"2024-10-05",Motory,48
"2024-08-26",Motory,36
"2024-07-25",Twitter,31
"2024-04-08",Instagram,1
"2024-11-02",Test Drive,35
"2024-12-19",Motory Campaign,70
"2024-12-08",Toll Free,58
"2024-08-02",Chatbot,2
"2024-02-24",Toll Free,127
"2024-01-29",Online Sales,384
"2024-09-02",Website,157
"2024-05-15",Chatbot,8
"2024-04-01",Social Media - Campaign,21
"2024-11-02",Motory,27
"2024-11-23",Test Drive,43
"2024-05-14",Website,109
"2024-11-04",Motory,43
"2024-02-07",Instagram,2
"2024-10-03",Test Drive,35
"2024-01-20",Toyota Offer,48
"2024-12-28",Website,119
"2024-07-24",Motory,75
"2024-11-07",Toyota Offer,375
"2024-06-19",Test Drive,19
"2024-06-06",Test Drive,25
"2024-09-25",Toll Free,136
"2024-12-01",Website,70
"2024-09-03",Events,1
"2024-08-07",Motory Campaign,32
"2024-04-25",Toll Free,151
"2024-06-19",Toll Free,1
"2024-12-26",Toll Free,66
"2024-08-03",Twitter,16
"2024-09-13",Twitter,18
"2024-03-04",Toyota Offer,1
"2024-09-24",Online Sales,449
"2024-12-11",Motory Campaign,91
"2024-06-22",Social Media - Campaign,16
"2024-03-20",Online Sales,486
"2024-09-08",Toll Free,159
"2024-05-12",Online Sales,287
"2024-09-16",Twitter,30
"2024-03-16",Motory,126
"2024-12-22",Twitter,6
"2024-11-15",Toll Free,14
"2024-03-09",Motory,94
"2024-05-23",Toyota Offer,116
"2024-05-27",Social Media - Campaign,1
"2024-10-25",Events,2
"2024-12-04",Twitter,4
"2024-07-17",Twitter,14
"2024-06-18",Motory,26
"2024-02-07",Social Media - Campaign,45
"2024-06-25",Motory,70
"2024-09-13",Social Media - Campaign,105
"2024-10-19",Toll Free,104
"2024-07-22",Website,108
"2024-07-22",Test Drive,51
"2024-09-22",Online Sales,467
"2024-11-16",Online Sales,327
"2024-08-10",Twitter,16
"2024-01-16",Online Sales,375
"2024-11-10",Toll Free,73
"2024-03-12",Toll Free,93
"2024-06-30",Social Media - Campaign,2
"2024-06-02",Twitter,8
"2024-04-19",Twitter,6
"2024-01-01",Instagram,1
"2024-11-14",Online Sales,282
"2024-08-14",Twitter,30
"2024-08-15",Social Media - Campaign,76
"2024-06-02",Toll Free,188
"2024-01-08",Toyota Offer,27
"2024-07-11",Toll Free,153
"2024-02-18",Motory,141
"2024-02-19",Motory,96
"2024-09-12",Chatbot,6
"2024-06-01",Online Sales,287
"2024-06-26",Online Sales,353
"2024-05-20",Test Drive,67
"2024-01-14",Twitter,11
"2024-07-10",Toll Free,166
"2024-06-01",Test Drive,47
"2024-12-20",Social Media - Campaign,150
"2024-11-14",Website,96
"2024-07-09",Motory,88
"2024-09-30",Chatbot,5
"2024-12-04",Online Sales,262
"2024-05-19",Test Drive,54
"2024-06-12",Website,94
"2024-03-28",Website,130
"2024-09-20",Toyota Offer,53
"2024-06-05",Twitter,8
"2024-01-11",Twitter,16
"2024-09-26",Test Drive,47
"2024-06-24",Toll Free,187
"2024-06-25",Social Media - Campaign,49
"2024-09-25",Motory,75
"2024-07-29",Twitter,22
"2024-12-24",Toyota Offer,2
"2024-10-13",Online Sales,451
"2024-10-30",Chatbot,3
"2024-08-18",Toll Free,421
"2024-05-09",Test Drive,17
"2024-08-20",Online Sales,1386
"2024-02-17",Motory,139
"2024-01-05",Chatbot,2
"2024-08-05",Instagram,1
"2024-07-04",Online Sales,540
"2024-12-18",Social Media - Campaign,64
"2024-12-20",Online Sales,196
"2024-08-22",Twitter,33
"2024-08-20",Motory,54
"2024-10-18",Motory,63
"2024-04-20",Website,119
"2024-10-31",Instagram,1
"2024-03-23",Toll Free,108
"2024-10-01",Toll Free,99
"2024-08-05",Test Drive,38
"2024-05-19",Twitter,21
"2024-05-11",Instagram,1
"2024-11-05",Chatbot,1
"2024-09-14",Instagram,2
"2024-11-22",Twitter,1
"2024-07-06",Social Media - Campaign,108
"2024-03-30",Twitter,20
"2024-07-16",Toll Free,163
"2024-02-03",Toll Free,159
"2024-02-11",Website,106
"2024-02-02",Mobile Applications-TSS,1
"2024-01-14",Mobile Applications-TSS,1
"2024-07-23",Toyota Offer,46
"2024-05-05",Twitter,17
"2024-03-16",Online Sales,512
"2024-06-27",Toll Free,128
"2024-12-15",Toll Free,62
"2024-01-10",Chatbot,1
"2024-07-10",Toyota Offer,3
"2024-10-21",Twitter,9
"2024-11-18",Motory Campaign,172
"2024-04-19",Website,89
"2024-04-01",Instagram,1
"2024-05-25",Toll Free,198
"2024-10-26",Motory,35
"2024-02-20",Instagram,1
"2024-03-19",Chatbot,1
"2024-09-26",Twitter,17
"2024-09-19",Toll Free,109
"2024-08-06",Toyota Offer,1
"2024-10-24",Facebook,1
"2024-05-13",Toll Free,159
"2024-10-03",Twitter,9
"2024-09-27",Chatbot,6
"2024-10-09",Instagram,2
"2024-12-14",Social Media - Campaign,106
"2024-11-05",Toll Free,60
"2024-09-24",Social Media - Campaign,4
"2024-08-27",Instagram,2
"2024-05-26",Toyota Offer,2
"2024-09-26",Chatbot,2
"2024-04-29",Motory,80
"2024-07-30",Facebook,2
"2024-07-17",Online Sales,324
"2024-02-26",Instagram,1
"2024-12-19",Online Sales,223
"2024-11-05",Toyota Offer,189
"2024-11-06",Online Sales,300
"2024-04-01",Twitter,8
"2024-04-21",Events,8
"2024-03-06",Toll Free,168
"2024-04-09",Motory,26
"2024-05-01",Toll Free,180
"2024-05-05",Test Drive,18
"2024-07-18",Toll Free,157
"2024-05-21",Twitter,21
"2024-06-09",Toyota Offer,624
"2024-07-28",Test Drive,51
"2024-04-16",Motory,100
"2024-12-29",Toyota Offer,5
"2024-08-24",Online Sales,1292
"2024-03-11",Twitter,8
"2024-05-17",Twitter,16
"2024-12-06",Twitter,3
"2024-12-18",Motory Campaign,76
"2024-09-07",Website,183
"2024-11-25",Motory Campaign,85
"2024-09-16",Events,1
"2024-05-16",Instagram,2
"2024-01-02",Toll Free,132
"2024-07-05",Motory,56
"2024-05-02",Twitter,10
"2024-06-07",Online Sales,328
"2024-08-05",Chatbot,4
"2024-07-01",Toll Free,395
"2024-06-14",Twitter,15
"2024-11-20",Toll Free,81
"2024-09-27",Test Drive,44
"2024-03-18",Events,1
"2024-05-25",Chatbot,2
"2024-05-05",Social Media - Campaign,192
"2024-10-04",Social Media - Campaign,21
"2024-08-24",Chatbot,5
"2024-01-30",Motory,82
"2024-01-20",Website,90
"2024-04-06",Toll Free,2
"2024-10-11",Twitter,4
"2024-03-16",Social Media - Campaign,8
"2024-11-12",Chatbot,4
"2024-01-11",Toyota Offer,45
"2024-01-30",Facebook,1
"2024-07-02",Instagram,1
"2024-06-22",Motory,81
"2024-09-02",Toll Free,200
"2024-09-23",Motory,36
"2024-06-30",Online Sales,297
"2024-12-13",Website,54
"2024-05-26",Motory,65
"2024-03-29",Facebook,1
"2024-08-11",Test Drive,55
"2024-10-01",Online Sales,92
"2024-05-28",Test Drive,54
"2024-03-21",Twitter,16
"2024-06-17",Motory,28
"2024-10-20",Motory Campaign,172
"2024-10-07",Toll Free,102
"2024-11-23",Toyota Offer,1
"2024-06-02",Toyota Offer,2
"2024-04-01",Motory,87
"2024-09-06",Online Sales,368
"2024-05-26",Twitter,25
"2024-09-12",Social Media - Campaign,37
"2024-10-16",Toll Free,69
"2024-04-12",Motory,45
"2024-07-07",Motory,86
"2024-12-22",Toll Free,65
"2024-02-21",Website,112
"2024-11-11",Website,106
"2024-08-14",Social Media - Campaign,23
"2024-12-21",Toll Free,40
"2024-05-06",Test Drive,23
"2024-04-06",Twitter,8
"2024-03-28",Mobile Applications-TSS,2
"2024-01-31",Toyota Offer,26
"2024-09-17",Events,1
"2024-05-22",Twitter,30
"2024-03-05",Toyota Offer,1
"2024-10-13",Twitter,10
"2024-12-28",Chatbot,6
"2024-02-11",Toyota Offer,20
"2024-01-07",Online Sales,424
"2024-10-04",Online Sales,287
"2024-05-23",Social Media - Campaign,114
"2024-01-18",Motory Campaign,1
"2024-03-23",Motory,97
"2024-10-25",Website,85
"2024-06-09",Chatbot,3
"2024-06-06",Website,71
"2024-01-29",Toll Free,167
"2024-03-13",Website,105
"2024-07-20",Toyota Offer,125
"2024-06-27",Instagram,2
"2024-01-23",Mobile Applications-TSS,1
"2024-12-04",Social Media - Campaign,33
"2024-05-14",Motory,81
"2024-07-08",Website,76
"2024-03-24",Website,144
"2024-12-10",Website,110
"2024-09-19",Website,140
"2024-11-04",Toyota Offer,13
"2024-05-29",Facebook,1
"2024-03-30",Online Sales,473
"2024-12-31",Website,100
"2024-02-28",Chatbot,1
"2024-05-10",Toyota Offer,6
"2024-01-22",Toyota Offer,46
"2024-11-28",Facebook,1
"2024-07-27",Test Drive,45
"2024-09-13",Toll Free,22
"2024-07-09",Test Drive,33
"2024-06-25",Test Drive,57
"2024-02-02",Instagram,1
"2024-10-26",Test Drive,55
"2024-11-30",Toll Free,52
"2024-01-06",Online Sales,349
"2024-06-18",Online Sales,310
"2024-04-18",Website,106
"2024-03-15",Social Media - Campaign,44
"2024-05-01",Website,95
"2024-05-06",Social Media - Campaign,178
"2024-01-11",Toll Free,127
"2024-09-13",Toyota Offer,88
"2024-08-14",Motory Campaign,31
"2024-03-13",Chatbot,1
"2024-10-17",Motory Campaign,148
"2024-11-14",Chatbot,1
"2024-12-03",Toyota Offer,3
"2024-11-10",Chatbot,2
"2024-03-17",Online Sales,510
"2024-05-06",Facebook,3
"2024-02-14",Twitter,6
"2024-06-27",Events,1
"2024-09-06",Motory,35
"2024-02-21",Mobile Applications-TSS,1
"2024-10-23",Toll Free,95
"2024-03-10",Motory,79
"2024-11-27",Toll Free,78
"2024-06-24",Website,116
"2024-12-17",Twitter,5
"2024-06-21",Chatbot,1
"2024-05-03",Social Media - Campaign,148
"2024-01-02",Website,90
"2024-03-03",Chatbot,1
"2024-03-07",Mobile Applications-TSS,1
"2024-05-02",Chatbot,1
"2024-04-28",Toll Free,173
"2024-09-01",Website,161
"2024-12-26",Test Drive,43
"2024-08-22",Social Media - Campaign,1
"2024-04-25",Events,3
"2024-08-23",Online Sales,1233
"2024-02-06",Online Sales,388
"2024-01-13",Toyota Offer,56
"2024-12-18",Twitter,5
"2024-02-16",Twitter,6
"2024-04-03",Website,46
"2024-07-29",Online Sales,341
"2024-03-19",Motory,114
"2024-02-06",Instagram,1
"2024-01-09",Online Sales,334
"2024-06-09",Twitter,15
"2024-05-22",Motory,88
"2024-06-06",Toyota Offer,44
"2024-01-01",Chatbot,2
"2024-08-29",Events,2
"2024-08-17",Toll Free,371
"2024-04-21",Toyota Offer,11
"2024-02-09",Website,54
"2024-01-09",Social Media - Campaign,31
"2024-11-28",Toyota Offer,4
"2024-07-19",Instagram,1
"2024-11-12",Motory Campaign,153
"2024-03-02",Chatbot,1
"2024-03-07",Events,1
"2024-08-12",Toll Free,262
"2024-06-05",Toll Free,213
"2024-03-07",Twitter,6
"2024-12-16",Website,52
"2024-01-15",Motory,91
"2024-03-13",Toll Free,112
"2024-08-30",Toyota Offer,39
"2024-04-01",Events,1
"2024-12-25",Toll Free,67
"2024-03-24",Twitter,12
"2024-09-10",Online Sales,517
"2024-03-27",Online Sales,412
"2024-10-04",Website,84
"2024-09-03",Toll Free,200
"2024-01-22",Chatbot,2
"2024-09-15",Test Drive,12
"2024-01-11",Instagram,2
"2024-02-23",Online Sales,295
"2024-11-21",Twitter,6
"2024-06-22",Instagram,1
"2024-06-25",Twitter,22
"2024-03-13",Instagram,3
"2024-07-08",Social Media - Campaign,110
"2024-02-18",Instagram,1
"2024-04-21",Instagram,1
"2024-02-03",Social Media - Campaign,60
"2024-01-23",Social Media - Campaign,71
"2024-12-07",Test Drive,37
"2024-05-27",Toll Free,175
"2024-08-05",Toyota Offer,1
"2024-10-05",Instagram,1
"2024-04-12",Twitter,9
"2024-01-20",Facebook,1
"2024-08-23",Chatbot,5
"2024-03-08",Motory,77
"2024-02-22",Motory,67
"2024-08-16",Social Media - Campaign,72
"2024-12-26",Online Sales,166
"2024-03-16",Chatbot,1
"2024-08-11",Online Sales,392
"2024-10-15",Toyota Offer,1
"2024-05-24",Toyota Offer,69
"2024-08-12",Twitter,28
"2024-08-21",Motory Campaign,15
"2024-08-28",Chatbot,5
"2024-01-31",Instagram,1
"2024-07-03",Test Drive,69
"2024-12-04",Test Drive,51
"2024-05-14",Test Drive,51
"2024-12-29",Chatbot,1
"2024-02-20",Motory,124
"2024-02-19",Instagram,2
"2024-05-30",Chatbot,2
"2024-08-13",Twitter,103
"2024-05-02",Events,4
"2024-05-29",Website,103
"2024-04-06",Motory,55
"2024-05-31",Chatbot,4
"2024-06-30",Events,1
"2024-12-21",Chatbot,4
"2024-01-26",Toyota Offer,34
"2024-07-07",Toll Free,157
"2024-05-30",Online Sales,394
"2024-03-29",Motory,79
